sample_id,gsm,sample,timepoint,CD4.Naive,B.Cell,CD4.Memory,CD8.Memory,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,Pre.B.Cell,Early.Erythrocyte,GMP,Plasma,pDC,CLP,HSC,Progenitor,Unknown,Monocytes,CD16.Monocytes,cDC,Early.Basophil
AML24_DX,GSM7494306,AML24,DX,87,54,44,40,34,94,11,47,0,0,12,6,0,0,0,0,2,2,6,0,0
AML24_REL,GSM7494307,AML24,REL,84,111,14,12,104,243,2,2,92,0,2,0,2,30,1,0,0,92,27,0,0
AML24_REM,GSM7494308,AML24,REM,753,2,323,179,146,339,121,60,7,40,47,16,17,43,24,28,0,183,39,19,3
AML23_DX,GSM7494309,AML23,DX,410,206,77,31,65,7,18,8,10,14,20,0,36,3,3,13,0,18,0,18,0
AML23_REL,GSM7494310,AML23,REL,56,192,24,35,120,0,14,26,1,2,37,3,3,0,2,6,3,0,0,0,1
AML23_REM,GSM7494311,AML23,REM,2066,1,381,99,84,415,255,68,107,146,213,1,84,205,53,69,14,1714,236,174,3
AML28_REL,GSM7494312,AML28,REL,314,209,188,362,504,224,41,60,13,44,14,0,1,14,59,6,4,18,13,0,0
AML28_REM,GSM7494313,AML28,REM,51,0,65,37,28,18,2,41,4,60,13,0,15,1,6,3,0,135,4,17,0
AML14_DX,GSM7494314,AML14,DX,95,103,65,94,101,100,9,26,0,26,13,4,0,1,1,30,0,48,3,0,0
AML14_REM,GSM7494315,AML14,REM,41,1,34,60,15,631,20,10,3,98,59,30,56,16,43,18,0,335,23,22,6
AML25_DX,GSM7494316,AML25,DX,258,83,73,40,63,4,32,25,0,10,1,0,1,1,7,0,0,1,0,0,0
AML25_REL,GSM7494317,AML25,REL,117,114,59,77,47,512,58,34,132,15,4,0,2,11,1,12,0,0,0,0,0
AML25_REM,GSM7494318,AML25,REM,551,9,236,145,150,1056,96,89,7,51,124,1,112,102,71,31,11,953,85,90,2
AML26_DX,GSM7494319,AML26,DX,50,50,27,28,36,38,8,9,1,2,3,4,0,3,4,4,0,9,0,0,0
AML26_REL,GSM7494320,AML26,REL,29,68,44,89,49,17,13,12,1,2,5,0,0,0,0,1,0,0,2,0,0
AML26_REM,GSM7494321,AML26,REM,524,2,153,166,153,521,80,68,25,31,166,6,67,56,11,28,10,773,115,54,1
AML19_DX,GSM7494322,AML19,DX,94,58,22,17,34,1,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AML19_REL,GSM7494323,AML19,REL,98,86,38,16,23,50,34,2,79,0,0,2,0,20,0,0,3,0,1,0,0
AML18_DX,GSM7494324,AML18,DX,202,73,45,17,16,2,73,5,6,10,2,33,0,1,0,0,0,0,0,0,19
AML18_REL,GSM7494325,AML18,REL,165,1040,67,59,100,95,17,30,43,0,3,1,0,0,0,0,2,0,0,0,0
AML12_DX,GSM7494326,AML12,DX,30,75,37,7,38,4,7,7,3,0,2,0,0,0,1,1,1,0,0,0,0
AML12_REL,GSM7494327,AML12,REL,178,90,75,82,85,78,35,29,16,1,4,3,0,5,1,0,0,6,1,2,1
AML12_REM,GSM7494328,AML12,REM,281,6,139,97,125,307,44,32,33,43,274,8,208,84,227,13,6,1140,14,196,1
AML13_DX,GSM7494329,AML13,DX,979,262,169,57,31,134,68,33,2,8,5,6,1,1,1,5,0,0,0,0,0
AML13_REL,GSM7494330,AML13,REL,330,542,127,76,113,104,32,37,101,4,8,1,7,32,0,0,3,18,1,2,0
AML13_REM,GSM7494331,AML13,REM,783,8,164,71,16,1147,46,21,395,1372,478,1,67,1150,61,170,3,521,21,81,1
